	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\bar\bar_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_01_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d	D:\Locomotion_Lecture\processed\c3d\Thrusters\dumbells\dumbells_02_filt.c3d
	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Abdomen_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Neck_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:Thorax_Joint_Position	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:L_HIP_POSITION	SUBJECT0FILT:L_HIP_POSITION
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
1	0.16708	0.19731	0.87793	0.17165	0.19830	1.34709	0.16295	0.20905	1.12253	0.07877	0.18588	0.79473	0.17879	0.05576	0.87110	0.18545	0.08651	1.34574	0.18241	0.08263	1.11689	0.08882	0.04985	0.78634	0.18033	0.05272	0.87560	0.18401	0.03007	1.34438	0.17928	0.05801	1.11974	0.09039	0.05300	0.79018
2	0.16673	0.19707	0.87788	0.17146	0.19960	1.34730	0.16328	0.20863	1.12236	0.07842	0.18560	0.79470	0.17513	0.05411	0.87113	0.18079	0.08547	1.34646	0.17923	0.08129	1.11752	0.08502	0.04899	0.78648	0.18059	0.05320	0.87560	0.18333	0.03065	1.34482	0.17937	0.05826	1.11995	0.09063	0.05333	0.79021
3	0.16661	0.19697	0.87797	0.17095	0.20020	1.34746	0.16361	0.20879	1.12246	0.07823	0.18528	0.79489	0.17075	0.05210	0.87128	0.17592	0.08367	1.34762	0.17475	0.07973	1.11854	0.08051	0.04715	0.78675	0.18086	0.05380	0.87552	0.18335	0.03046	1.34504	0.17968	0.05848	1.12036	0.09114	0.05388	0.78988
4	0.16668	0.19702	0.87801	0.17080	0.20026	1.34745	0.16367	0.20889	1.12252	0.07829	0.18519	0.79496	0.16914	0.05121	0.87138	0.17415	0.08271	1.34811	0.17279	0.07901	1.11895	0.07885	0.04612	0.78691	0.18101	0.05397	0.87551	0.18361	0.03042	1.34521	0.17999	0.05858	1.12064	0.09139	0.05413	0.78975
5	0.16679	0.19709	0.87803	0.17067	0.20033	1.34742	0.16372	0.20893	1.12256	0.07839	0.18508	0.79501	0.16744	0.05019	0.87152	0.17218	0.08160	1.34862	0.17062	0.07814	1.11938	0.07710	0.04494	0.78710	0.18120	0.05410	0.87553	0.18391	0.03049	1.34548	0.18043	0.05871	1.12100	0.09168	0.05439	0.78968
6	0.16691	0.19713	0.87804	0.17055	0.20039	1.34738	0.16377	0.20890	1.12260	0.07853	0.18496	0.79503	0.16576	0.04909	0.87167	0.17006	0.08042	1.34910	0.16837	0.07717	1.11977	0.07539	0.04374	0.78730	0.18145	0.05415	0.87561	0.18418	0.03070	1.34587	0.18096	0.05885	1.12144	0.09198	0.05462	0.78970
7	0.16704	0.19714	0.87803	0.17044	0.20042	1.34734	0.16383	0.20881	1.12265	0.07869	0.18482	0.79501	0.16418	0.04799	0.87184	0.16786	0.07927	1.34954	0.16621	0.07618	1.12011	0.07379	0.04262	0.78750	0.18174	0.05409	0.87572	0.18438	0.03099	1.34634	0.18155	0.05898	1.12194	0.09228	0.05476	0.78980
8	0.16716	0.19709	0.87802	0.17033	0.20044	1.34732	0.16390	0.20871	1.12270	0.07886	0.18469	0.79497	0.16272	0.04692	0.87203	0.16567	0.07825	1.34994	0.16422	0.07526	1.12042	0.07234	0.04164	0.78767	0.18203	0.05389	0.87585	0.18452	0.03132	1.34685	0.18212	0.05908	1.12244	0.09257	0.05477	0.78994
9	0.16728	0.19703	0.87801	0.17019	0.20048	1.34730	0.16400	0.20868	1.12276	0.07901	0.18459	0.79493	0.16141	0.04593	0.87222	0.16361	0.07745	1.35032	0.16248	0.07450	1.12069	0.07104	0.04085	0.78784	0.18228	0.05355	0.87596	0.18463	0.03160	1.34732	0.18264	0.05912	1.12291	0.09280	0.05464	0.79006
10	0.16739	0.19699	0.87802	0.17005	0.20059	1.34730	0.16412	0.20877	1.12282	0.07915	0.18453	0.79491	0.16024	0.04505	0.87242	0.16177	0.07694	1.35069	0.16103	0.07399	1.12095	0.06989	0.04028	0.78799	0.18245	0.05310	0.87603	0.18474	0.03181	1.34771	0.18309	0.05909	1.12331	0.09298	0.05435	0.79013
11	0.16750	0.19698	0.87804	0.16991	0.20080	1.34730	0.16428	0.20898	1.12286	0.07927	0.18454	0.79491	0.15928	0.04433	0.87259	0.16021	0.07675	1.35102	0.15993	0.07380	1.12116	0.06892	0.03990	0.78815	0.18253	0.05255	0.87603	0.18487	0.03197	1.34800	0.18345	0.05897	1.12358	0.09307	0.05393	0.79012
12	0.16761	0.19700	0.87805	0.16977	0.20111	1.34731	0.16446	0.20927	1.12289	0.07938	0.18457	0.79493	0.15854	0.04380	0.87275	0.15895	0.07683	1.35132	0.15917	0.07396	1.12134	0.06817	0.03967	0.78831	0.18250	0.05195	0.87596	0.18499	0.03217	1.34817	0.18373	0.05880	1.12371	0.09306	0.05340	0.79003
13	0.16773	0.19701	0.87805	0.16966	0.20149	1.34731	0.16461	0.20953	1.12288	0.07946	0.18458	0.79496	0.15807	0.04343	0.87287	0.15801	0.07711	1.35157	0.15869	0.07441	1.12148	0.06767	0.03951	0.78846	0.18237	0.05130	0.87583	0.18506	0.03249	1.34822	0.18391	0.05861	1.12365	0.09295	0.05278	0.78988
14	0.16784	0.19699	0.87802	0.16958	0.20191	1.34729	0.16468	0.20971	1.12283	0.07951	0.18454	0.79500	0.15789	0.04318	0.87294	0.15741	0.07744	1.35177	0.15843	0.07504	1.12159	0.06743	0.03935	0.78859	0.18214	0.05061	0.87563	0.18505	0.03291	1.34816	0.18397	0.05840	1.12342	0.09273	0.05209	0.78967
15	0.16791	0.19691	0.87798	0.16950	0.20233	1.34723	0.16462	0.20977	1.12273	0.07952	0.18444	0.79503	0.15801	0.04300	0.87296	0.15716	0.07775	1.35190	0.15836	0.07569	1.12166	0.06744	0.03918	0.78871	0.18183	0.04987	0.87539	0.18496	0.03335	1.34799	0.18388	0.05817	1.12305	0.09244	0.05137	0.78942
16	0.16795	0.19679	0.87792	0.16935	0.20276	1.34712	0.16443	0.20972	1.12258	0.07951	0.18427	0.79503	0.15839	0.04289	0.87295	0.15726	0.07798	1.35199	0.15846	0.07627	1.12169	0.06770	0.03905	0.78884	0.18147	0.04911	0.87514	0.18481	0.03367	1.34773	0.18360	0.05791	1.12261	0.09207	0.05066	0.78917
17	0.16797	0.19664	0.87786	0.16911	0.20319	1.34698	0.16413	0.20958	1.12239	0.07950	0.18405	0.79501	0.15902	0.04287	0.87293	0.15767	0.07810	1.35203	0.15874	0.07675	1.12170	0.06818	0.03904	0.78898	0.18107	0.04835	0.87491	0.18466	0.03378	1.34744	0.18315	0.05761	1.12219	0.09164	0.05000	0.78897
18	0.16798	0.19648	0.87781	0.16878	0.20362	1.34683	0.16377	0.20941	1.12220	0.07951	0.18381	0.79497	0.15983	0.04303	0.87294	0.15831	0.07811	1.35206	0.15921	0.07719	1.12172	0.06886	0.03926	0.78913	0.18064	0.04765	0.87475	0.18455	0.03370	1.34717	0.18254	0.05725	1.12185	0.09117	0.04941	0.78886
19	0.16798	0.19630	0.87776	0.16838	0.20406	1.34668	0.16339	0.20923	1.12203	0.07952	0.18357	0.79492	0.16076	0.04344	0.87298	0.15907	0.07806	1.35210	0.15986	0.07762	1.12174	0.06971	0.03977	0.78925	0.18022	0.04703	0.87467	0.18452	0.03349	1.34700	0.18181	0.05684	1.12160	0.09067	0.04889	0.78887
20	0.16797	0.19613	0.87771	0.16792	0.20451	1.34657	0.16302	0.20907	1.12190	0.07953	0.18334	0.79487	0.16175	0.04416	0.87304	0.15987	0.07801	1.35217	0.16066	0.07811	1.12178	0.07069	0.04061	0.78932	0.17981	0.04650	0.87469	0.18453	0.03321	1.34692	0.18102	0.05641	1.12146	0.09018	0.04839	0.78896
21	0.16795	0.19595	0.87766	0.16738	0.20492	1.34649	0.16266	0.20892	1.12183	0.07949	0.18312	0.79482	0.16275	0.04518	0.87308	0.16063	0.07805	1.35225	0.16157	0.07869	1.12182	0.07176	0.04176	0.78928	0.17943	0.04603	0.87476	0.18454	0.03293	1.34694	0.18026	0.05599	1.12140	0.08974	0.04788	0.78910
22	0.16790	0.19579	0.87759	0.16677	0.20530	1.34643	0.16231	0.20882	1.12179	0.07943	0.18292	0.79479	0.16372	0.04646	0.87306	0.16136	0.07821	1.35234	0.16255	0.07940	1.12186	0.07285	0.04320	0.78912	0.17908	0.04561	0.87487	0.18449	0.03268	1.34701	0.17956	0.05561	1.12141	0.08936	0.04730	0.78925
23	0.16785	0.19566	0.87753	0.16612	0.20564	1.34636	0.16196	0.20877	1.12175	0.07935	0.18274	0.79477	0.16463	0.04794	0.87296	0.16209	0.07852	1.35244	0.16352	0.08023	1.12187	0.07392	0.04488	0.78884	0.17874	0.04520	0.87499	0.18434	0.03247	1.34710	0.17896	0.05526	1.12144	0.08900	0.04667	0.78938
24	0.16777	0.19557	0.87750	0.16548	0.20600	1.34626	0.16164	0.20878	1.12168	0.07927	0.18261	0.79474	0.16547	0.04956	0.87281	0.16285	0.07893	1.35252	0.16445	0.08118	1.12188	0.07494	0.04674	0.78848	0.17836	0.04478	0.87509	0.18410	0.03229	1.34718	0.17845	0.05495	1.12148	0.08860	0.04602	0.78950
25	0.16768	0.19551	0.87752	0.16486	0.20637	1.34613	0.16137	0.20888	1.12157	0.07922	0.18253	0.79472	0.16626	0.05125	0.87262	0.16359	0.07939	1.35259	0.16532	0.08222	1.12190	0.07590	0.04874	0.78811	0.17792	0.04430	0.87516	0.18378	0.03211	1.34722	0.17797	0.05461	1.12149	0.08811	0.04538	0.78961
26	0.16756	0.19548	0.87757	0.16428	0.20675	1.34596	0.16115	0.20902	1.12142	0.07918	0.18249	0.79469	0.16704	0.05300	0.87244	0.16426	0.07986	1.35263	0.16613	0.08336	1.12193	0.07683	0.05080	0.78775	0.17738	0.04375	0.87517	0.18337	0.03191	1.34722	0.17749	0.05423	1.12146	0.08750	0.04479	0.78970
27	0.16741	0.19548	0.87764	0.16376	0.20710	1.34578	0.16097	0.20916	1.12127	0.07910	0.18251	0.79467	0.16781	0.05480	0.87228	0.16483	0.08033	1.35264	0.16693	0.08458	1.12197	0.07772	0.05291	0.78746	0.17677	0.04312	0.87511	0.18291	0.03168	1.34716	0.17701	0.05379	1.12138	0.08681	0.04424	0.78972
28	0.16722	0.19549	0.87769	0.16329	0.20735	1.34563	0.16080	0.20923	1.12113	0.07899	0.18256	0.79463	0.16856	0.05663	0.87216	0.16530	0.08080	1.35263	0.16776	0.08588	1.12203	0.07857	0.05503	0.78723	0.17614	0.04246	0.87495	0.18241	0.03144	1.34704	0.17656	0.05333	1.12123	0.08610	0.04374	0.78964
29	0.16702	0.19549	0.87771	0.16290	0.20749	1.34550	0.16064	0.20920	1.12104	0.07886	0.18261	0.79457	0.16930	0.05851	0.87209	0.16569	0.08125	1.35263	0.16865	0.08723	1.12212	0.07938	0.05718	0.78707	0.17554	0.04182	0.87473	0.18194	0.03119	1.34688	0.17618	0.05286	1.12105	0.08548	0.04328	0.78946
30	0.16684	0.19547	0.87768	0.16257	0.20753	1.34543	0.16047	0.20907	1.12101	0.07873	0.18265	0.79448	0.17000	0.06042	0.87207	0.16607	0.08170	1.35265	0.16961	0.08856	1.12223	0.08015	0.05934	0.78698	0.17503	0.04127	0.87448	0.18154	0.03095	1.34669	0.17589	0.05242	1.12085	0.08499	0.04287	0.78919
31	0.16671	0.19543	0.87761	0.16224	0.20758	1.34542	0.16030	0.20887	1.12101	0.07863	0.18267	0.79437	0.17065	0.06231	0.87211	0.16651	0.08215	1.35271	0.17061	0.08982	1.12239	0.08087	0.06150	0.78694	0.17465	0.04082	0.87425	0.18125	0.03072	1.34653	0.17572	0.05200	1.12068	0.08466	0.04252	0.78890
32	0.16662	0.19538	0.87752	0.16188	0.20774	1.34545	0.16013	0.20865	1.12102	0.07855	0.18268	0.79426	0.17123	0.06416	0.87218	0.16706	0.08265	1.35282	0.17157	0.09101	1.12256	0.08153	0.06363	0.78693	0.17439	0.04047	0.87409	0.18106	0.03047	1.34640	0.17564	0.05159	1.12055	0.08447	0.04221	0.78867
33	0.16659	0.19533	0.87742	0.16150	0.20806	1.34551	0.15997	0.20849	1.12100	0.07849	0.18268	0.79418	0.17170	0.06596	0.87227	0.16773	0.08319	1.35295	0.17245	0.09217	1.12275	0.08209	0.06575	0.78693	0.17423	0.04019	0.87404	0.18093	0.03015	1.34631	0.17559	0.05120	1.12050	0.08436	0.04193	0.78857
34	0.16660	0.19527	0.87734	0.16119	0.20848	1.34558	0.15982	0.20845	1.12099	0.07844	0.18266	0.79417	0.17202	0.06772	0.87234	0.16851	0.08379	1.35307	0.17317	0.09336	1.12291	0.08249	0.06786	0.78691	0.17414	0.03996	0.87409	0.18078	0.02973	1.34626	0.17554	0.05085	1.12051	0.08429	0.04169	0.78860
35	0.16664	0.19521	0.87730	0.16102	0.20893	1.34567	0.15969	0.20855	1.12099	0.07839	0.18261	0.79421	0.17215	0.06949	0.87236	0.16933	0.08443	1.35317	0.17371	0.09462	1.12305	0.08271	0.06998	0.78684	0.17408	0.03975	0.87421	0.18057	0.02922	1.34621	0.17544	0.05055	1.12055	0.08420	0.04150	0.78874
36	0.16667	0.19516	0.87731	0.16100	0.20931	1.34576	0.15960	0.20877	1.12104	0.07835	0.18253	0.79431	0.17212	0.07129	0.87232	0.17012	0.08510	1.35323	0.17407	0.09598	1.12316	0.08277	0.07211	0.78672	0.17402	0.03958	0.87437	0.18031	0.02868	1.34615	0.17529	0.05032	1.12060	0.08411	0.04136	0.78894
37	0.16668	0.19514	0.87736	0.16107	0.20956	1.34586	0.15956	0.20908	1.12115	0.07831	0.18246	0.79442	0.17199	0.07309	0.87226	0.17082	0.08582	1.35330	0.17428	0.09740	1.12327	0.08273	0.07420	0.78655	0.17398	0.03945	0.87453	0.18005	0.02819	1.34608	0.17511	0.05016	1.12063	0.08404	0.04129	0.78913
38	0.16665	0.19518	0.87746	0.16113	0.20966	1.34598	0.15955	0.20946	1.12132	0.07828	0.18243	0.79452	0.17182	0.07486	0.87218	0.17137	0.08655	1.35337	0.17438	0.09883	1.12341	0.08267	0.07618	0.78636	0.17398	0.03936	0.87468	0.17982	0.02782	1.34602	0.17495	0.05005	1.12063	0.08403	0.04131	0.78929
39	0.16656	0.19527	0.87759	0.16111	0.20962	1.34612	0.15955	0.20987	1.12153	0.07824	0.18244	0.79462	0.17168	0.07655	0.87213	0.17180	0.08733	1.35345	0.17443	0.10021	1.12356	0.08265	0.07802	0.78619	0.17405	0.03932	0.87481	0.17964	0.02758	1.34597	0.17484	0.04999	1.12061	0.08412	0.04140	0.78941
40	0.16643	0.19541	0.87774	0.16095	0.20949	1.34627	0.15952	0.21027	1.12176	0.07816	0.18250	0.79472	0.17162	0.07814	0.87211	0.17216	0.08813	1.35354	0.17446	0.10151	1.12371	0.08269	0.07973	0.78607	0.17422	0.03935	0.87493	0.17950	0.02747	1.34595	0.17482	0.04995	1.12059	0.08433	0.04156	0.78948
